Fast_EMA,Slow_EMA,Total_Return_Pct,CAGR_Pct,Alpha_Pct,Max_Drawdown_Pct,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Win_Rate_Pct,Profit_Factor,Expectancy_Pct,Total_Trades,Avg_Holding_Hours,Avg_Win_Pct,Avg_Loss_Pct,Win_Loss_Ratio,Max_Cons_Wins,Max_Cons_Losses,Best_Trade_Pct,Worst_Trade_Pct,Exposure_Pct,Pos_Months,Neg_Months,Best_Month,Worst_Month,Peak_Time,MDD_Trough_Time,Jan_2026,Feb_2026,Mar_2026,Apr_2026,May_2026,Jun_2026,Jul_2026,Aug_2026
5,51,18.74,30.83,37.55,23.9,0.89,0.94,1.29,27.88,1.3,0.22,104,26.3,3.36,-1.0,3.37,2,12,27.9,-4.6,48.93,4,4,Aug_2026 (+22.26%),May_2026 (-8.55%),2026-08-22T00:00:00,2026-07-01T06:00:00,7.28,-5.08,0.88,-2.65,-8.55,-3.21,9.72,22.26
5,52,16.25,26.56,35.06,25.54,0.8,0.84,1.04,26.92,1.27,0.2,104,26.3,3.45,-1.0,3.45,2,12,27.9,-4.6,48.84,4,4,Aug_2026 (+22.43%),May_2026 (-8.00%),2026-08-22T00:00:00,2026-07-01T06:00:00,7.23,-5.0,0.59,-2.91,-8.0,-5.38,9.64,22.43
5,53,12.8,20.74,31.61,25.87,0.68,0.71,0.8,28.0,1.23,0.17,100,27.3,3.32,-1.05,3.17,2,11,27.9,-4.6,48.8,4,4,Aug_2026 (+22.43%),May_2026 (-8.13%),2026-08-22T00:00:00,2026-07-01T06:00:00,6.4,-5.18,0.11,-1.82,-8.13,-5.38,6.89,22.43
5,54,14.98,24.4,33.79,24.12,0.76,0.8,1.01,28.57,1.26,0.2,98,27.9,3.3,-1.04,3.16,2,11,27.9,-4.6,48.75,4,4,Aug_2026 (+22.17%),May_2026 (-8.13%),2026-08-22T00:00:00,2026-07-01T06:00:00,7.28,-4.91,0.61,-1.44,-8.13,-5.06,6.67,22.17
5,55,17.3,28.35,36.11,23.84,0.84,0.88,1.19,29.47,1.3,0.22,95,28.7,3.26,-1.04,3.12,2,12,27.9,-4.6,48.75,4,4,Aug_2026 (+22.65%),May_2026 (-8.97%),2026-08-22T00:00:00,2026-07-01T06:00:00,7.49,-4.39,0.25,-0.53,-8.97,-5.06,8.0,22.65
5,56,15.48,25.25,34.29,24.9,0.78,0.81,1.01,29.17,1.28,0.2,96,28.4,3.23,-1.04,3.1,2,12,27.9,-4.6,48.66,3,5,Aug_2026 (+23.10%),May_2026 (-8.67%),2026-08-22T00:00:00,2026-07-01T06:00:00,7.42,-4.42,-0.52,-0.69,-8.67,-5.74,7.42,23.1
5,57,15.12,24.64,33.93,24.63,0.76,0.8,1.0,29.17,1.27,0.2,96,28.3,3.22,-1.04,3.09,2,13,27.9,-4.6,48.57,4,4,Aug_2026 (+23.07%),May_2026 (-8.80%),2026-08-22T00:00:00,2026-07-01T06:00:00,6.74,-4.42,-0.52,0.25,-8.8,-6.16,7.42,23.07
5,58,16.73,27.37,35.54,23.79,0.82,0.86,1.15,28.72,1.3,0.22,94,28.9,3.35,-1.04,3.22,3,13,27.9,-4.6,48.46,5,3,Aug_2026 (+23.31%),May_2026 (-8.98%),2026-08-22T00:00:00,2026-07-01T06:00:00,6.82,-4.93,0.04,2.23,-8.98,-6.78,7.42,23.31
5,59,15.74,25.68,34.54,24.21,0.78,0.82,1.06,29.03,1.29,0.21,93,29.1,3.32,-1.06,3.14,3,12,27.9,-4.6,48.39,5,3,Aug_2026 (+22.45%),May_2026 (-9.44%),2026-08-22T00:00:00,2026-07-01T06:00:00,6.82,-5.03,0.32,1.8,-9.44,-6.59,7.85,22.45
5,60,14.67,23.87,33.47,24.76,0.75,0.78,0.96,28.26,1.27,0.21,92,29.4,3.45,-1.07,3.22,3,12,27.9,-4.68,48.23,4,4,Aug_2026 (+22.55%),May_2026 (-8.90%),2026-08-22T00:00:00,2026-07-01T06:00:00,5.53,-5.03,-0.3,2.17,-8.9,-6.73,7.85,22.55
5,61,15.66,25.56,34.47,24.78,0.78,0.82,1.03,28.57,1.29,0.22,91,29.7,3.44,-1.07,3.21,3,12,27.9,-4.68,48.25,4,4,Aug_2026 (+23.35%),May_2026 (-8.85%),2026-08-22T00:00:00,2026-07-01T06:00:00,5.53,-5.02,-0.4,2.17,-8.85,-6.73,8.12,23.35
5,62,9.34,14.98,28.14,29.6,0.56,0.58,0.51,27.47,1.19,0.16,91,29.7,3.55,-1.13,3.15,3,14,27.9,-4.68,48.2,4,4,Aug_2026 (+24.12%),Jun_2026 (-10.14%),2026-08-22T00:00:00,2026-07-01T06:00:00,5.6,-6.41,-0.98,1.24,-8.83,-10.14,8.53,24.12
5,63,9.63,15.46,28.44,30.15,0.57,0.59,0.51,28.57,1.19,0.16,91,29.6,3.46,-1.16,2.98,3,15,27.9,-4.68,48.09,4,4,Aug_2026 (+24.85%),Jun_2026 (-10.14%),2026-08-22T00:00:00,2026-07-01T06:00:00,5.6,-5.85,-2.86,2.14,-9.15,-10.14,9.03,24.85
5,64,7.29,11.63,26.1,31.72,0.48,0.49,0.37,26.6,1.16,0.13,94,28.6,3.59,-1.12,3.2,3,15,27.9,-4.68,48.04,4,4,Aug_2026 (+25.02%),May_2026 (-9.46%),2026-01-14T20:00:00,2026-07-01T06:00:00,5.85,-7.45,-4.24,2.14,-9.46,-9.26,9.01,25.02
5,65,8.55,13.69,27.35,30.58,0.53,0.55,0.45,26.6,1.18,0.14,94,28.7,3.59,-1.11,3.25,3,15,27.9,-4.68,48.18,4,4,Aug_2026 (+24.92%),May_2026 (-9.34%),2026-01-14T20:00:00,2026-07-01T06:00:00,5.95,-7.45,-2.96,2.14,-9.34,-9.17,8.57,24.92
5,66,8.01,12.82,26.82,30.45,0.51,0.52,0.42,25.77,1.17,0.13,97,27.8,3.58,-1.06,3.37,3,14,27.9,-4.68,48.11,4,4,Aug_2026 (+24.92%),Jun_2026 (-9.12%),2026-01-14T20:00:00,2026-07-01T06:00:00,6.09,-8.28,-2.8,1.01,-7.65,-9.12,7.84,24.92
5,67,8.0,12.79,26.81,30.28,0.51,0.52,0.42,25.77,1.17,0.13,97,27.7,3.59,-1.06,3.37,3,15,27.9,-4.68,48.05,4,4,Aug_2026 (+24.92%),Jun_2026 (-9.12%),2026-01-14T20:00:00,2026-07-01T06:00:00,6.18,-7.64,-2.8,0.99,-8.13,-9.12,7.56,24.92
5,68,11.34,18.3,30.15,28.45,0.63,0.65,0.64,27.17,1.22,0.18,92,29.3,3.59,-1.1,3.27,3,15,27.9,-4.68,48.07,4,4,Aug_2026 (+25.14%),Jun_2026 (-9.19%),2026-08-22T00:00:00,2026-07-01T06:00:00,7.03,-7.64,-2.0,1.9,-7.99,-9.19,7.87,25.14
5,69,11.04,17.79,29.84,27.96,0.62,0.64,0.64,27.17,1.22,0.17,92,29.2,3.54,-1.08,3.26,3,15,27.9,-4.68,47.98,4,4,Aug_2026 (+24.99%),Jun_2026 (-9.51%),2026-08-22T00:00:00,2026-07-01T06:00:00,6.19,-8.03,-2.0,1.9,-6.68,-9.51,7.87,24.99
5,70,12.29,19.88,31.1,27.26,0.67,0.69,0.73,27.78,1.24,0.19,90,29.8,3.5,-1.09,3.22,4,15,27.9,-4.68,47.93,4,4,Aug_2026 (+24.99%),Jun_2026 (-9.10%),2026-08-22T00:00:00,2026-07-01T06:00:00,6.84,-8.03,-3.3,2.91,-6.3,-9.1,7.87,24.99
5,71,11.52,18.59,30.33,27.01,0.64,0.66,0.69,27.91,1.23,0.19,86,31.1,3.63,-1.14,3.17,4,15,27.9,-4.68,47.82,4,4,Aug_2026 (+25.34%),Feb_2026 (-9.30%),2026-08-22T00:00:00,2026-07-01T06:00:00,6.84,-9.3,-2.53,2.91,-6.34,-8.21,6.46,25.34
5,72,14.88,24.23,33.69,24.76,0.76,0.78,0.98,27.71,1.28,0.23,83,32.2,3.84,-1.15,3.34,4,14,27.9,-4.68,47.7,4,4,Aug_2026 (+25.34%),Feb_2026 (-8.66%),2026-08-22T00:00:00,2026-07-01T06:00:00,7.0,-8.66,-2.53,4.44,-5.84,-8.05,6.39,25.34
