Fast_EMA,Slow_EMA,Total_Return_Pct,CAGR_Pct,Alpha_Pct,Max_Drawdown_Pct,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Win_Rate_Pct,Profit_Factor,Expectancy_Pct,Total_Trades,Avg_Holding_Hours,Avg_Win_Pct,Avg_Loss_Pct,Win_Loss_Ratio,Max_Cons_Wins,Max_Cons_Losses,Best_Trade_Pct,Worst_Trade_Pct,Exposure_Pct,Pos_Months,Neg_Months,Best_Month,Worst_Month,Peak_Time,MDD_Trough_Time,Jan_2026,Feb_2026,Mar_2026,Apr_2026,May_2026,Jun_2026,Jul_2026,Aug_2026
204,228,37.1,63.83,55.91,16.89,1.55,1.6,3.78,55.56,7.07,3.92,9,309.6,8.23,-1.45,5.66,3,2,27.69,-4.67,49.75,5,1,Aug_2026 (+27.92%),May_2026 (-4.67%),2026-08-22T00:00:00,2026-03-08T18:00:00,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.92
205,227,37.1,63.83,55.91,16.89,1.55,1.6,3.78,55.56,7.07,3.92,9,309.6,8.23,-1.45,5.66,3,2,27.69,-4.67,49.75,5,1,Aug_2026 (+27.92%),May_2026 (-4.67%),2026-08-22T00:00:00,2026-03-08T18:00:00,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.92
206,226,37.1,63.83,55.91,16.89,1.55,1.6,3.78,55.56,7.07,3.92,9,309.6,8.23,-1.45,5.66,3,2,27.69,-4.67,49.75,5,1,Aug_2026 (+27.92%),May_2026 (-4.67%),2026-08-22T00:00:00,2026-03-08T18:00:00,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.92
207,225,37.1,63.83,55.91,16.89,1.55,1.6,3.78,55.56,7.07,3.92,9,309.6,8.23,-1.45,5.66,3,2,27.69,-4.67,49.75,5,1,Aug_2026 (+27.92%),May_2026 (-4.67%),2026-08-22T00:00:00,2026-03-08T18:00:00,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.92
199,234,37.09,63.81,55.9,16.89,1.55,1.6,3.78,62.5,7.57,4.41,8,348.8,8.13,-1.79,4.54,3,1,27.79,-4.67,49.82,5,1,Aug_2026 (+27.91%),May_2026 (-4.67%),2026-08-22T00:00:00,2026-03-08T18:00:00,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.91
201,233,37.01,63.65,55.82,16.89,1.55,1.6,3.77,62.5,8.06,4.4,8,348.9,8.03,-1.66,4.83,3,1,27.69,-4.13,49.84,5,1,Aug_2026 (+27.17%),May_2026 (-4.13%),2026-08-22T00:00:00,2026-03-08T18:00:00,0.16,0.0,0.3,5.61,-4.13,0.0,5.94,27.17
200,232,36.99,63.61,55.8,16.89,1.55,1.6,3.77,55.56,7.06,3.91,9,309.4,8.21,-1.45,5.65,3,2,27.69,-4.67,49.73,5,1,Aug_2026 (+27.81%),May_2026 (-4.67%),2026-08-22T00:00:00,2026-03-08T18:00:00,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.81
201,231,36.99,63.61,55.8,16.89,1.55,1.6,3.77,55.56,7.06,3.91,9,309.4,8.21,-1.45,5.65,3,2,27.69,-4.67,49.73,5,1,Aug_2026 (+27.81%),May_2026 (-4.67%),2026-08-22T00:00:00,2026-03-08T18:00:00,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.81
202,230,36.99,63.61,55.8,16.89,1.55,1.6,3.77,55.56,7.06,3.91,9,309.4,8.21,-1.45,5.65,3,2,27.69,-4.67,49.73,5,1,Aug_2026 (+27.81%),May_2026 (-4.67%),2026-08-22T00:00:00,2026-03-08T18:00:00,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.81
200,233,36.99,63.61,55.79,16.89,1.54,1.6,3.77,62.5,7.55,4.4,8,348.6,8.11,-1.79,4.53,3,1,27.69,-4.67,49.8,5,1,Aug_2026 (+27.81%),May_2026 (-4.67%),2026-08-22T00:00:00,2026-03-08T18:00:00,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.81
201,232,36.99,63.61,55.79,16.89,1.54,1.6,3.77,62.5,7.55,4.4,8,348.6,8.11,-1.79,4.53,3,1,27.69,-4.67,49.8,5,1,Aug_2026 (+27.81%),May_2026 (-4.67%),2026-08-22T00:00:00,2026-03-08T18:00:00,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.81
202,231,36.99,63.61,55.79,16.89,1.54,1.6,3.77,62.5,7.55,4.4,8,348.6,8.11,-1.79,4.53,3,1,27.69,-4.67,49.8,5,1,Aug_2026 (+27.81%),May_2026 (-4.67%),2026-08-22T00:00:00,2026-03-08T18:00:00,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.81
210,222,36.99,63.61,55.79,16.89,1.54,1.6,3.77,62.5,7.55,4.4,8,348.6,8.11,-1.79,4.53,3,1,27.69,-4.67,49.8,5,1,Aug_2026 (+27.81%),May_2026 (-4.67%),2026-08-22T00:00:00,2026-03-08T18:00:00,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.81
211,221,36.99,63.61,55.79,16.89,1.54,1.6,3.77,62.5,7.55,4.4,8,348.6,8.11,-1.79,4.53,3,1,27.69,-4.67,49.8,5,1,Aug_2026 (+27.81%),May_2026 (-4.67%),2026-08-22T00:00:00,2026-03-08T18:00:00,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.81
212,220,36.99,63.61,55.79,16.89,1.54,1.6,3.77,62.5,7.55,4.4,8,348.6,8.11,-1.79,4.53,3,1,27.69,-4.67,49.8,5,1,Aug_2026 (+27.81%),May_2026 (-4.67%),2026-08-22T00:00:00,2026-03-08T18:00:00,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.81
213,219,36.99,63.61,55.79,16.89,1.54,1.6,3.77,62.5,7.55,4.4,8,348.6,8.11,-1.79,4.53,3,1,27.69,-4.67,49.8,5,1,Aug_2026 (+27.81%),May_2026 (-4.67%),2026-08-22T00:00:00,2026-03-08T18:00:00,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.81
214,218,36.99,63.61,55.79,16.89,1.54,1.6,3.77,62.5,7.55,4.4,8,348.6,8.11,-1.79,4.53,3,1,27.69,-4.67,49.8,5,1,Aug_2026 (+27.81%),May_2026 (-4.67%),2026-08-22T00:00:00,2026-03-08T18:00:00,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.81
215,217,36.99,63.61,55.79,16.89,1.54,1.6,3.77,62.5,7.55,4.4,8,348.6,8.11,-1.79,4.53,3,1,27.69,-4.67,49.8,5,1,Aug_2026 (+27.81%),May_2026 (-4.67%),2026-08-22T00:00:00,2026-03-08T18:00:00,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,27.81
203,230,36.93,63.51,55.74,16.89,1.54,1.6,3.76,62.5,7.54,4.39,8,348.5,8.11,-1.79,4.52,3,1,27.69,-4.67,49.79,5,1,Aug_2026 (+27.81%),May_2026 (-4.67%),2026-08-22T00:00:00,2026-03-08T18:00:00,0.16,0.0,0.3,5.61,-4.67,0.0,5.94,27.81
204,229,36.93,63.51,55.74,16.89,1.54,1.6,3.76,62.5,7.54,4.39,8,348.5,8.11,-1.79,4.52,3,1,27.69,-4.67,49.79,5,1,Aug_2026 (+27.81%),May_2026 (-4.67%),2026-08-22T00:00:00,2026-03-08T18:00:00,0.16,0.0,0.3,5.61,-4.67,0.0,5.94,27.81
205,228,36.93,63.51,55.74,16.89,1.54,1.6,3.76,62.5,7.54,4.39,8,348.5,8.11,-1.79,4.52,3,1,27.69,-4.67,49.79,5,1,Aug_2026 (+27.81%),May_2026 (-4.67%),2026-08-22T00:00:00,2026-03-08T18:00:00,0.16,0.0,0.3,5.61,-4.67,0.0,5.94,27.81
206,227,36.93,63.51,55.74,16.89,1.54,1.6,3.76,62.5,7.54,4.39,8,348.5,8.11,-1.79,4.52,3,1,27.69,-4.67,49.79,5,1,Aug_2026 (+27.81%),May_2026 (-4.67%),2026-08-22T00:00:00,2026-03-08T18:00:00,0.16,0.0,0.3,5.61,-4.67,0.0,5.94,27.81
207,226,36.73,63.13,55.54,16.89,1.54,1.59,3.74,62.5,7.34,4.38,8,348.6,8.11,-1.84,4.4,3,1,27.69,-4.67,49.8,5,1,Aug_2026 (+27.62%),May_2026 (-4.67%),2026-08-22T00:00:00,2026-03-08T18:00:00,0.16,0.0,0.3,5.61,-4.67,0.0,5.94,27.62
208,225,36.73,63.13,55.54,16.89,1.54,1.59,3.74,62.5,7.34,4.38,8,348.6,8.11,-1.84,4.4,3,1,27.69,-4.67,49.8,5,1,Aug_2026 (+27.62%),May_2026 (-4.67%),2026-08-22T00:00:00,2026-03-08T18:00:00,0.16,0.0,0.3,5.61,-4.67,0.0,5.94,27.62
209,224,36.73,63.13,55.54,16.89,1.54,1.59,3.74,62.5,7.34,4.38,8,348.6,8.11,-1.84,4.4,3,1,27.69,-4.67,49.8,5,1,Aug_2026 (+27.62%),May_2026 (-4.67%),2026-08-22T00:00:00,2026-03-08T18:00:00,0.16,0.0,0.3,5.61,-4.67,0.0,5.94,27.62
210,223,36.73,63.13,55.54,16.89,1.54,1.59,3.74,62.5,7.34,4.38,8,348.6,8.11,-1.84,4.4,3,1,27.69,-4.67,49.8,5,1,Aug_2026 (+27.62%),May_2026 (-4.67%),2026-08-22T00:00:00,2026-03-08T18:00:00,0.16,0.0,0.3,5.61,-4.67,0.0,5.94,27.62
211,222,36.73,63.13,55.54,16.89,1.54,1.59,3.74,62.5,7.34,4.38,8,348.6,8.11,-1.84,4.4,3,1,27.69,-4.67,49.8,5,1,Aug_2026 (+27.62%),May_2026 (-4.67%),2026-08-22T00:00:00,2026-03-08T18:00:00,0.16,0.0,0.3,5.61,-4.67,0.0,5.94,27.62
212,221,36.73,63.13,55.54,16.89,1.54,1.59,3.74,62.5,7.34,4.38,8,348.6,8.11,-1.84,4.4,3,1,27.69,-4.67,49.8,5,1,Aug_2026 (+27.62%),May_2026 (-4.67%),2026-08-22T00:00:00,2026-03-08T18:00:00,0.16,0.0,0.3,5.61,-4.67,0.0,5.94,27.62
213,220,36.73,63.13,55.54,16.89,1.54,1.59,3.74,62.5,7.34,4.38,8,348.6,8.11,-1.84,4.4,3,1,27.69,-4.67,49.8,5,1,Aug_2026 (+27.62%),May_2026 (-4.67%),2026-08-22T00:00:00,2026-03-08T18:00:00,0.16,0.0,0.3,5.61,-4.67,0.0,5.94,27.62
214,219,36.73,63.13,55.54,16.89,1.54,1.59,3.74,62.5,7.34,4.38,8,348.6,8.11,-1.84,4.4,3,1,27.69,-4.67,49.8,5,1,Aug_2026 (+27.62%),May_2026 (-4.67%),2026-08-22T00:00:00,2026-03-08T18:00:00,0.16,0.0,0.3,5.61,-4.67,0.0,5.94,27.62
