open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
2026-04-13 04:00:00+00:00,2194.36,2199.14,2187.58,2190.26,4948.9015,2026-04-13 04:59:59.999000+00:00,10857510.044808,61756,2606.20090000,5719864.67819000,0
2026-04-13 05:00:00+00:00,2190.25,2191.35,2182.22,2191.34,7155.0899,2026-04-13 05:59:59.999000+00:00,15654674.70222,76203,3628.63400000,7940066.35016900,0
2026-04-13 06:00:00+00:00,2191.34,2201.45,2190.32,2198.49,11369.6534,2026-04-13 06:59:59.999000+00:00,24973439.171018,84903,7670.97470000,16848982.44660700,0
2026-04-13 07:00:00+00:00,2198.49,2199.76,2183.11,2186.56,9718.1181,2026-04-13 07:59:59.999000+00:00,21266852.440196,84096,5383.89150000,11782157.00720600,0
2026-04-13 08:00:00+00:00,2186.57,2189.65,2180.0,2185.28,7895.1899,2026-04-13 08:59:59.999000+00:00,17243938.529931,89485,3174.50050000,6935454.34263400,0
2026-04-13 09:00:00+00:00,2185.28,2195.34,2185.28,2188.08,3884.4226,2026-04-13 09:59:59.999000+00:00,8506598.50209,73033,2288.18980000,5010718.57281500,0
2026-04-13 10:00:00+00:00,2188.08,2188.78,2179.0,2183.41,4548.1763,2026-04-13 10:59:59.999000+00:00,9933353.176629,72629,2232.92930000,4877345.06540900,0
2026-04-13 11:00:00+00:00,2183.41,2190.96,2182.45,2187.33,4289.7666,2026-04-13 11:59:59.999000+00:00,9381939.017209,73756,2245.73940000,4911329.05347400,0
2026-04-13 12:00:00+00:00,2187.33,2200.0,2175.68,2192.25,16772.6337,2026-04-13 12:59:59.999000+00:00,36706033.279631,138328,9847.04360000,21555510.89498300,0
2026-04-13 13:00:00+00:00,2192.3,2215.62,2181.4,2215.47,30435.3799,2026-04-13 13:59:59.999000+00:00,66924603.674535,309092,17998.52330000,39582969.03552300,0
2026-04-13 14:00:00+00:00,2215.46,2235.03,2203.45,2234.18,31071.8324,2026-04-13 14:59:59.999000+00:00,68911542.923546,345782,16888.93770000,37466532.55827200,0
2026-04-13 15:00:00+00:00,2234.18,2236.43,2199.52,2209.28,25979.5165,2026-04-13 15:59:59.999000+00:00,57577165.462225,288397,9696.75270000,21471840.86693200,0
2026-04-13 16:00:00+00:00,2209.28,2234.62,2200.0,2225.86,16260.3153,2026-04-13 16:59:59.999000+00:00,36130341.442929,289724,7700.08890000,17104294.84566000,0
2026-04-13 17:00:00+00:00,2225.85,2242.9,2222.5,2225.13,12050.6755,2026-04-13 17:59:59.999000+00:00,26901877.22244,177573,5703.45770000,12740111.75071500,0
2026-04-13 18:00:00+00:00,2225.12,2233.63,2218.53,2232.23,6657.7952,2026-04-13 18:59:59.999000+00:00,14827907.623786,122129,3091.41510000,6886693.23726000,0
2026-04-13 19:00:00+00:00,2232.22,2268.88,2227.72,2262.33,29841.8728,2026-04-13 19:59:59.999000+00:00,67189314.986146,290573,17665.68160000,39779243.94128300,0
2026-04-13 20:00:00+00:00,2262.33,2263.48,2247.5,2252.49,14180.552,2026-04-13 20:59:59.999000+00:00,31968330.904424,145810,5394.61290000,12162696.73301600,0
2026-04-13 21:00:00+00:00,2252.49,2266.66,2249.62,2260.07,8155.7034,2026-04-13 21:59:59.999000+00:00,18415867.677915,102557,4507.97320000,10179445.61187800,0
2026-04-13 22:00:00+00:00,2260.07,2363.94,2259.81,2352.74,95874.8042,2026-04-13 22:59:59.999000+00:00,222961804.801229,735353,51009.30810000,118609941.68233100,0
2026-04-13 23:00:00+00:00,2352.74,2394.71,2341.53,2369.46,86324.9515,2026-04-13 23:59:59.999000+00:00,204744247.548331,580702,43150.97270000,102320261.40165800,0
2026-04-14 00:00:00+00:00,2369.46,2375.9,2359.55,2361.0,27078.1045,2026-04-14 00:59:59.999000+00:00,64109094.094589,240541,13315.66750000,31530111.49182300,0
2026-04-14 01:00:00+00:00,2361.01,2373.42,2354.6,2368.7,21849.8271,2026-04-14 01:59:59.999000+00:00,51651285.541023,160789,11187.60120000,26457612.70206800,0
2026-04-14 02:00:00+00:00,2368.7,2378.06,2366.22,2367.62,14924.9864,2026-04-14 02:59:59.999000+00:00,35391146.782414,123040,7876.57920000,18680111.29848400,0
2026-04-14 03:00:00+00:00,2367.62,2370.53,2361.55,2365.5,10579.9345,2026-04-14 03:59:59.999000+00:00,25039982.866897,90969,5466.60260000,12938430.47276100,0
2026-04-14 04:00:00+00:00,2365.5,2368.38,2361.81,2364.33,7975.3935,2026-04-14 04:59:59.999000+00:00,18863000.790141,84904,4498.53010000,10640422.86548500,0
2026-04-14 05:00:00+00:00,2364.34,2369.55,2354.76,2355.49,15577.023,2026-04-14 05:59:59.999000+00:00,36792197.022971,97685,7088.91430000,16745761.09220600,0
2026-04-14 06:00:00+00:00,2355.49,2376.68,2355.49,2373.08,13857.3449,2026-04-14 06:59:59.999000+00:00,32795717.278682,100479,8710.89400000,20617910.71221900,0
2026-04-14 07:00:00+00:00,2373.08,2389.99,2370.59,2377.91,26446.3596,2026-04-14 07:59:59.999000+00:00,62883844.746673,187229,12602.18800000,29970185.73451000,0
2026-04-14 08:00:00+00:00,2377.92,2396.03,2374.04,2387.61,24928.2101,2026-04-14 08:59:59.999000+00:00,59471018.743958,191828,13506.31200000,32226541.54203400,0
2026-04-14 09:00:00+00:00,2387.62,2394.73,2382.82,2387.14,13416.5833,2026-04-14 09:59:59.999000+00:00,32053933.818016,149792,7410.01190000,17704990.11377600,0
2026-04-14 10:00:00+00:00,2387.14,2387.85,2373.0,2375.08,13047.6141,2026-04-14 10:59:59.999000+00:00,31064069.304314,110402,6670.46240000,15879423.98823600,0
2026-04-14 11:00:00+00:00,2375.08,2377.91,2367.61,2374.53,14778.9188,2026-04-14 11:59:59.999000+00:00,35083010.048833,112131,8712.98020000,20683463.11501000,0
2026-04-14 12:00:00+00:00,2374.54,2377.74,2368.56,2373.94,12278.3595,2026-04-14 12:59:59.999000+00:00,29134449.377638,131022,5555.56530000,13182992.19127500,0
2026-04-14 13:00:00+00:00,2373.95,2395.97,2372.67,2391.5,37056.2013,2026-04-14 13:59:59.999000+00:00,88452670.382155,225925,18472.34210000,44087755.88761500,0
2026-04-14 14:00:00+00:00,2391.51,2415.5,2352.59,2353.05,64481.5343,2026-04-14 14:59:59.999000+00:00,153668866.584445,377532,32011.08860000,76279432.13139800,0
2026-04-14 15:00:00+00:00,2353.05,2372.12,2332.72,2364.63,41191.3033,2026-04-14 15:59:59.999000+00:00,96837722.489628,278673,22207.52070000,52223842.73825400,0
2026-04-14 16:00:00+00:00,2364.62,2371.48,2329.56,2334.0,20715.8534,2026-04-14 16:59:59.999000+00:00,48728319.267683,188163,7370.59290000,17345144.23132300,0
2026-04-14 17:00:00+00:00,2334.0,2345.49,2323.66,2338.37,14195.9839,2026-04-14 17:59:59.999000+00:00,33125853.934055,159814,5809.96180000,13557986.93948500,0
2026-04-14 18:00:00+00:00,2338.37,2344.69,2309.28,2313.89,22655.0283,2026-04-14 18:59:59.999000+00:00,52740722.315229,198831,7705.62110000,17930611.10010300,0
2026-04-14 19:00:00+00:00,2313.89,2322.73,2302.9,2313.32,15604.0232,2026-04-14 19:59:59.999000+00:00,36095449.866121,149279,7498.17310000,17345052.60364500,0
2026-04-14 20:00:00+00:00,2313.32,2322.73,2308.53,2315.1,6539.0735,2026-04-14 20:59:59.999000+00:00,15139638.77214,77913,2778.25990000,6433999.47209000,0
2026-04-14 21:00:00+00:00,2315.1,2326.21,2314.87,2323.72,6233.4385,2026-04-14 21:59:59.999000+00:00,14462194.586895,73109,3428.98920000,7955053.02377700,0
