trade_id,strategy,direction,entry_time,entry_price,exit_time,exit_price,duration_bars,duration_hours,invested_usd,realized_pnl_usd,realized_pnl_pct,portfolio_after,exit_reason
35,EMA_SAR_207_224,LONG,2026-02-20T17:00,1969.6,2026-02-20T17:30,1943.42,6,0.5,12448.87,-165.51,-1.33,12283.36,Signal Flip
36,EMA_SAR_207_224,SHORT,2026-02-20T17:30,1943.42,2026-02-20T17:50,1969.44,4,0.33,12283.36,-164.5,-1.34,12118.86,Signal Flip
37,EMA_SAR_207_224,LONG,2026-02-20T17:50,1969.44,2026-02-22T13:35,1960.67,525,43.75,12118.86,-54.0,-0.45,12064.86,Signal Flip
38,EMA_SAR_207_224,SHORT,2026-02-22T13:35,1960.67,2026-02-25T01:25,1916.53,718,59.83,12064.86,271.62,2.25,12336.49,Signal Flip
39,EMA_SAR_207_224,LONG,2026-02-25T01:25,1916.53,2026-02-27T01:00,2013.78,571,47.58,12336.49,626.02,5.07,12962.5,Signal Flip
40,EMA_SAR_207_224,SHORT,2026-02-27T01:00,2013.78,2026-02-27T04:45,2048.18,45,3.75,12962.5,-221.44,-1.71,12741.07,Signal Flip
41,EMA_SAR_207_224,LONG,2026-02-27T04:45,2048.18,2026-02-27T10:15,1985.59,66,5.5,12741.07,-389.39,-3.06,12351.67,Signal Flip
42,EMA_SAR_207_224,SHORT,2026-02-27T10:15,1985.59,2026-02-28T22:20,1964.01,433,36.08,12351.67,134.21,1.09,12485.89,Signal Flip
43,EMA_SAR_207_224,LONG,2026-02-28T22:20,1964.01,2026-03-01T21:45,1924.52,281,23.42,12485.89,-251.08,-2.01,12234.81,Signal Flip
44,EMA_SAR_207_224,SHORT,2026-03-01T21:45,1924.52,2026-03-02T16:00,2048.35,219,18.25,12234.81,-787.27,-6.43,11447.54,Signal Flip
45,EMA_SAR_207_224,LONG,2026-03-02T16:00,2048.35,2026-03-03T10:05,1951.57,217,18.08,11447.54,-540.87,-4.72,10906.67,Signal Flip
46,EMA_SAR_207_224,SHORT,2026-03-03T10:05,1951.57,2026-03-04T08:55,2047.7,274,22.83,10906.67,-537.24,-4.93,10369.43,Signal Flip
47,EMA_SAR_207_224,LONG,2026-03-04T08:55,2047.7,2026-03-05T18:30,2065.64,403,33.58,10369.43,90.81,0.88,10460.25,Signal Flip
48,EMA_SAR_207_224,SHORT,2026-03-05T18:30,2065.64,2026-03-09T04:40,1987.28,986,82.17,10460.25,396.78,3.79,10857.02,Signal Flip
49,EMA_SAR_207_224,LONG,2026-03-09T04:40,1987.28,2026-03-11T03:50,2019.44,566,47.17,10857.02,175.68,1.62,11032.7,Signal Flip
50,EMA_SAR_207_224,SHORT,2026-03-11T03:50,2019.44,2026-03-11T15:00,2063.71,134,11.17,11032.7,-241.87,-2.19,10790.84,Signal Flip
51,EMA_SAR_207_224,LONG,2026-03-11T15:00,2063.71,2026-03-12T05:15,2022.04,171,14.25,10790.84,-217.9,-2.02,10572.94,Signal Flip
52,EMA_SAR_207_224,SHORT,2026-03-12T05:15,2022.04,2026-03-12T10:55,2071.36,68,5.67,10572.94,-257.87,-2.44,10315.07,Signal Flip
53,EMA_SAR_207_224,LONG,2026-03-12T10:55,2071.36,2026-03-14T02:05,2091.7,470,39.17,10315.07,101.33,0.98,10416.4,Signal Flip
54,EMA_SAR_207_224,SHORT,2026-03-14T02:05,2091.7,2026-03-15T03:35,2099.36,306,25.5,10416.4,-38.12,-0.37,10378.28,Signal Flip
55,EMA_SAR_207_224,LONG,2026-03-15T03:35,2099.36,2026-03-18T11:45,2275.46,962,80.17,10378.28,870.57,8.39,11248.85,Signal Flip
56,EMA_SAR_207_224,SHORT,2026-03-18T11:45,2275.46,2026-03-21T03:30,2154.5,765,63.75,11248.85,598.0,5.32,11846.84,Signal Flip
57,EMA_SAR_207_224,LONG,2026-03-21T03:30,2154.5,2026-03-22T00:00,2083.82,246,20.5,11846.84,-388.64,-3.28,11458.2,Signal Flip
58,EMA_SAR_207_224,SHORT,2026-03-22T00:00,2083.82,2026-03-23T13:00,2145.34,444,37.0,11458.2,-338.3,-2.95,11119.9,Signal Flip
59,EMA_SAR_207_224,LONG,2026-03-23T13:00,2145.34,2026-03-24T19:40,2117.87,368,30.67,11119.9,-142.39,-1.28,10977.51,Signal Flip
60,EMA_SAR_207_224,SHORT,2026-03-24T19:40,2117.87,2026-03-24T21:35,2145.94,23,1.92,10977.51,-145.5,-1.33,10832.0,Signal Flip
61,EMA_SAR_207_224,LONG,2026-03-24T21:35,2145.94,2026-03-26T04:05,2150.21,366,30.5,10832.0,21.56,0.2,10853.56,Signal Flip
62,EMA_SAR_207_224,SHORT,2026-03-26T04:05,2150.21,2026-03-28T16:25,2029.17,724,60.33,10853.56,610.97,5.63,11464.54,Signal Flip
63,EMA_SAR_207_224,LONG,2026-03-28T16:25,2029.17,2026-03-29T01:40,1998.45,111,9.25,11464.54,-173.58,-1.51,11290.95,Signal Flip
64,EMA_SAR_207_224,SHORT,2026-03-29T01:40,1998.45,2026-03-30T03:15,2030.59,307,25.58,11290.95,-181.61,-1.61,11109.34,Signal Flip
65,EMA_SAR_207_224,LONG,2026-03-30T03:15,2030.59,2026-04-02T04:00,2055.3,873,72.75,11109.34,135.17,1.22,11244.51,Signal Flip
66,EMA_SAR_207_224,SHORT,2026-04-02T04:00,2055.3,2026-04-04T18:20,2058.99,748,62.33,11244.51,-20.17,-0.18,11224.34,Signal Flip
67,EMA_SAR_207_224,LONG,2026-04-04T18:20,2058.99,2026-04-05T06:30,2034.36,146,12.17,11224.34,-134.25,-1.2,11090.09,Signal Flip
68,EMA_SAR_207_224,SHORT,2026-04-05T06:30,2034.36,2026-04-05T19:55,2060.98,161,13.42,11090.09,-145.1,-1.31,10944.99,Signal Flip
69,EMA_SAR_207_224,LONG,2026-04-05T19:55,2060.98,2026-04-07T04:25,2105.74,390,32.5,10944.99,237.68,2.17,11182.67,Signal Flip
