Strategy,Timeframe,Fast_EMA,Slow_EMA,Method,Initial_Capital,Final_Equity,Net_PnL_USD,Total_Return_Pct,CAGR_Pct,Alpha_vs_ETH_Pct,Max_Drawdown_Pct,Max_Drawdown_USD,Avg_Drawdown_Pct,Peak_Equity_Time,MDD_Trough_Time,Max_DD_Duration_Hours,Recovery_Factor,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Omega_Ratio,Composite_Score,Total_Trades,Win_Rate_Pct,Loss_Rate_Pct,Profit_Factor,Expectancy_Pct,Expectancy_USD,Avg_Win_Pct,Avg_Loss_Pct,Payoff_Ratio,Max_Cons_Wins,Max_Cons_Losses,Best_Trade_Pct,Worst_Trade_Pct,Avg_Holding_Hours,Long_Trades_Count,Long_Win_Rate_Pct,Long_Net_PnL_USD,Short_Trades_Count,Short_Win_Rate_Pct,Short_Net_PnL_USD,Exposure_Pct,Total_Fees_USD,Fee_Drag_Pct,Pos_Months,Neg_Months,Best_Month,Worst_Month,M_Jan,M_Feb,M_Mar,M_Apr,M_May,M_Jun
EMA_SAR_75_105_5m,5m,75,105,Stop-and-Reverse (SAR),10000.0,7031.42,-2968.58,-29.69,-50.85,17.41,44.77,5614.74,23.94,2026-03-01T02:10,2026-06-30T03:15,2925.8,-0.53,-0.87,-1.14,-1.14,0.99,3.2,372,25.5,74.5,0.89,-0.07,-7.98,2.71,0.99,2.74,3,18,24.0,-5.02,11.7,186,24.7,-3437.83,186,26.3,469.29,99.9,3720.0,37.2,1,5,Feb (+20.94%),Mar (-25.24%),-0.47,20.94,-25.24,-0.07,-20.51,-1.63
EMA_SAR_55_125_1h,1h,55,125,Stop-and-Reverse (SAR),10000.0,7030.05,-2969.95,-29.7,-50.87,17.4,56.53,7316.27,32.84,2026-02-05T23:00,2026-05-13T09:00,3480.0,-0.41,-1.05,-1.39,-0.9,0.97,5.0,34,23.5,76.5,0.66,-0.76,-87.35,9.45,3.91,2.42,2,8,26.75,-10.13,126.3,17,23.5,-3893.27,17,23.5,923.35,98.9,340.0,3.4,3,3,Jun (+9.64%),Mar (-21.33%),8.23,-15.32,-21.33,-13.16,2.41,9.64
EMA_SAR_150_200_30m,30m,150,200,Stop-and-Reverse (SAR),10000.0,7026.59,-2973.41,-29.73,-50.92,17.37,58.1,7945.42,34.18,2026-02-06T00:00,2026-05-13T09:30,3479.5,-0.37,-1.03,-1.34,-0.88,0.98,5.0,34,26.5,73.5,0.68,-0.76,-87.45,8.69,4.16,2.09,2,8,26.48,-11.58,127.0,17,29.4,-3770.33,17,23.5,796.92,99.4,340.0,3.4,3,3,Jan (+13.19%),Mar (-19.01%),13.19,-18.5,-19.01,-13.73,1.31,7.61
EMA_SAR_80_90_1h,1h,80,90,Stop-and-Reverse (SAR),10000.0,7026.39,-2973.61,-29.74,-50.93,17.36,58.39,7590.88,33.97,2026-02-05T23:00,2026-05-13T09:00,3480.0,-0.39,-1.06,-1.4,-0.87,0.97,5.0,34,23.5,76.5,0.67,-0.75,-87.46,9.84,4.01,2.45,2,8,26.74,-11.89,126.3,17,23.5,-3844.09,17,23.5,870.5,98.9,340.0,3.4,3,3,Jun (+13.99%),Mar (-21.32%),8.7,-18.07,-21.32,-13.0,1.11,13.99
EMA_SAR_90_150_30m,30m,90,150,Stop-and-Reverse (SAR),10000.0,7014.7,-2985.3,-29.85,-51.09,17.25,53.43,7270.44,35.2,2026-02-06T00:00,2026-04-29T10:00,3479.5,-0.41,-0.99,-1.31,-0.96,0.98,5.0,58,25.9,74.1,0.7,-0.48,-51.47,5.66,2.62,2.16,2,16,25.51,-6.93,74.5,29,24.1,-3958.2,29,27.6,972.92,99.4,580.0,5.8,3,3,Jan (+12.48%),Feb (-24.37%),12.48,-24.37,-12.45,-11.49,2.48,3.84
EMA_SAR_70_165_30m,30m,70,165,Stop-and-Reverse (SAR),10000.0,7010.69,-2989.31,-29.89,-51.14,17.21,51.39,6933.03,33.54,2026-02-06T00:00,2026-04-29T10:00,3479.5,-0.43,-0.99,-1.32,-1.0,0.98,3.3,54,27.8,72.2,0.7,-0.52,-55.36,5.6,2.88,1.95,2,14,24.62,-6.6,80.0,27,25.9,-4046.51,27,29.6,1057.23,99.4,540.0,5.4,2,4,Jan (+11.66%),Feb (-21.69%),11.66,-21.69,-11.74,-11.63,6.25,-3.25
EMA_SAR_85_95_1h,1h,85,95,Stop-and-Reverse (SAR),10000.0,7008.06,-2991.94,-29.92,-51.18,17.18,56.32,7372.41,32.14,2026-02-05T23:00,2026-05-13T09:00,3480.0,-0.41,-1.07,-1.42,-0.91,0.97,3.3,34,26.5,73.5,0.66,-0.77,-88.0,8.35,4.06,2.06,2,8,26.41,-11.04,126.3,17,29.4,-3921.29,17,23.5,929.37,98.9,340.0,3.4,2,4,Jan (+9.46%),Feb (-17.32%),9.46,-17.32,-16.85,-13.03,-0.43,7.55
EMA_SAR_45_140_5m,5m,45,140,Stop-and-Reverse (SAR),10000.0,7006.62,-2993.38,-29.93,-51.2,17.17,49.67,6597.12,27.69,2026-02-06T00:15,2026-06-02T06:30,3479.7,-0.45,-0.89,-1.17,-1.03,0.99,5.1,392,23.5,76.5,0.89,-0.06,-7.64,2.78,0.94,2.98,3,16,24.0,-5.38,11.1,196,21.4,-3541.61,196,25.5,548.28,99.9,3920.0,39.2,3,3,Jan (+5.22%),May (-21.61%),5.22,4.55,-18.28,0.35,-21.61,-0.91
EMA_SAR_70_100_1h,1h,70,100,Stop-and-Reverse (SAR),10000.0,7007.01,-2992.99,-29.93,-51.2,17.17,58.65,7657.08,34.29,2026-02-05T23:00,2026-05-13T09:00,3480.0,-0.39,-1.07,-1.41,-0.87,0.97,5.0,34,23.5,76.5,0.66,-0.76,-88.03,9.8,4.01,2.44,2,8,26.78,-11.89,126.3,17,23.5,-3859.5,17,23.5,866.51,98.9,340.0,3.4,3,3,Jun (+13.90%),Mar (-22.19%),9.17,-18.07,-22.19,-13.11,1.73,13.9
EMA_SAR_45_150_1h,1h,45,150,Stop-and-Reverse (SAR),10000.0,7000.92,-2999.08,-29.99,-51.28,17.11,55.94,7867.38,33.37,2026-02-05T23:00,2026-05-13T09:00,3480.0,-0.38,-1.08,-1.42,-0.92,0.96,3.3,38,18.4,81.6,0.69,-0.67,-78.92,11.35,3.39,3.35,2,8,29.08,-11.3,113.0,19,15.8,-4001.24,19,21.1,1002.12,98.9,380.0,3.8,2,4,Jan (+18.87%),Feb (-20.37%),18.87,-20.37,-18.6,-10.66,2.5,-0.78
