strategy,timeframe,total_return_pct,net_pnl_usd,final_equity,max_drawdown_pct,sharpe,sortino,calmar,win_rate_pct,profit_factor,expectancy_pct,total_trades,avg_hold_hours,exposure_pct,fees_applied_pct,strategy_base,method,fast_ema,slow_ema
SINGLE_EMA_200_5m,5m,-85.67,-8567.48,1432.52,86.07,-6.08,-8.29,-1.14,10.4,0.65,-0.09,2101,2.1,99.9,210.1,SINGLE_EMA_200,Method 3: Single EMA,200,
EMA_SAR_12_26_5m,5m,-86.1,-8609.7,1390.3,86.4,-5.98,-8.45,-1.14,21.8,0.72,-0.09,1959,2.2,99.9,195.9,EMA_SAR_12_26,Method 1: SAR,12,26.0
EMA_CONFIRMED_50_200_5m,5m,-89.49,-8948.86,1051.14,89.65,-8.35,-9.63,-1.1,13.7,0.66,-0.09,2467,1.1,64.6,246.7,EMA_CONFIRMED_50_200,Method 2: Cross+Price,50,200.0
EMA_SAR_9_21_5m,5m,-91.7,-9170.21,829.79,91.95,-7.6,-10.85,-1.08,21.2,0.71,-0.09,2509,1.7,99.9,250.9,EMA_SAR_9_21,Method 1: SAR,9,21.0
EMA_CONFIRMED_50_100_5m,5m,-93.22,-9322.36,677.64,93.33,-9.76,-11.6,-1.07,13.6,0.61,-0.1,2550,1.2,69.7,255.0,EMA_CONFIRMED_50_100,Method 2: Cross+Price,50,100.0
SINGLE_EMA_100_5m,5m,-96.18,-9618.12,381.88,96.26,-10.2,-14.48,-1.04,11.0,0.57,-0.1,3169,1.4,99.9,316.9,SINGLE_EMA_100,Method 3: Single EMA,100,
EMA_CONFIRMED_20_200_5m,5m,-97.9,-9790.29,209.71,97.9,-14.74,-16.63,-1.02,14.8,0.57,-0.1,3882,0.7,58.3,388.2,EMA_CONFIRMED_20_200,Method 2: Cross+Price,20,200.0
SINGLE_EMA_82_5m,5m,-97.91,-9790.84,209.16,97.91,-12.08,-17.16,-1.02,11.3,0.55,-0.11,3553,1.2,99.9,355.3,SINGLE_EMA_82,Method 3: Single EMA,82,
EMA_CONFIRMED_20_100_5m,5m,-98.21,-9821.2,178.8,98.21,-14.95,-17.45,-1.02,15.2,0.56,-0.1,4002,0.7,62.3,400.2,EMA_CONFIRMED_20_100,Method 2: Cross+Price,20,100.0
EMA_CONFIRMED_20_50_5m,5m,-98.67,-9866.75,133.25,98.67,-15.58,-18.91,-1.01,16.3,0.54,-0.1,4207,0.7,67.5,420.7,EMA_CONFIRMED_20_50,Method 2: Cross+Price,20,50.0
SINGLE_EMA_50_5m,5m,-99.23,-9922.72,77.28,99.23,-15.15,-21.84,-1.01,12.9,0.53,-0.1,4629,0.9,99.9,462.9,SINGLE_EMA_50,Method 3: Single EMA,50,
EMA_CONFIRMED_12_26_5m,5m,-99.68,-9968.45,31.55,99.69,-20.35,-25.82,-1.0,17.7,0.49,-0.1,5652,0.5,69.4,565.2,EMA_CONFIRMED_12_26,Method 2: Cross+Price,12,26.0
EMA_CONFIRMED_9_21_5m,5m,-99.88,-9988.43,11.57,99.88,-23.93,-30.72,-1.0,18.0,0.49,-0.1,6650,0.5,69.3,665.0,EMA_CONFIRMED_9_21,Method 2: Cross+Price,9,21.0
SINGLE_EMA_20_5m,5m,-99.9,-9990.01,9.99,99.9,-21.98,-31.41,-1.0,15.0,0.48,-0.1,6836,0.6,93.9,683.6,SINGLE_EMA_20,Method 3: Single EMA,20,
