Strategy_Logic,Fast_EMA,Slow_EMA,Total_Return_Pct,CAGR_Pct,Alpha_Pct,Max_Drawdown_Pct,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Win_Rate_Pct,Profit_Factor,Total_Trades,Avg_Holding_Hours,Avg_Trade_Pct,Best_Trade_Pct,Worst_Trade_Pct,Exposure_Pct,Pos_Months,Neg_Months,Jan_2026,Feb_2026,Mar_2026,Apr_2026,May_2026,Jun_2026,Jul_2026,Aug_2026
EMA_CROSSOVER_SAR_LONG_SHORT,207,225,101.88,200.1,120.56,23.56,2.16,2.95,8.49,38.89,5.74,18,311.1,4.36,31.36,-4.67,100.0,6,2,20.08,18.24,-7.17,3.66,1.09,22.77,-5.48,25.97
EMA_CROSSOVER_SAR_LONG_SHORT,203,229,101.88,200.1,120.56,23.56,2.16,2.95,8.49,38.89,5.74,18,311.1,4.36,31.36,-4.67,100.0,6,2,20.08,18.24,-7.17,3.66,1.09,22.77,-5.48,25.97
EMA_CROSSOVER_SAR_LONG_SHORT,204,228,101.88,200.1,120.56,23.56,2.16,2.95,8.49,38.89,5.74,18,311.1,4.36,31.36,-4.67,100.0,6,2,20.08,18.24,-7.17,3.66,1.09,22.77,-5.48,25.97
EMA_CROSSOVER_SAR_LONG_SHORT,205,227,101.88,200.1,120.56,23.56,2.16,2.95,8.49,38.89,5.74,18,311.1,4.36,31.36,-4.67,100.0,6,2,20.08,18.24,-7.17,3.66,1.09,22.77,-5.48,25.97
EMA_CROSSOVER_SAR_LONG_SHORT,199,234,101.87,200.06,120.54,23.56,2.16,2.95,8.49,43.75,5.86,16,350.0,4.9,31.36,-4.67,100.0,6,2,20.08,18.24,-7.17,3.66,1.09,22.77,-5.48,25.96
EMA_CROSSOVER_SAR_LONG_SHORT,201,233,101.63,199.51,120.3,22.69,2.16,2.95,8.79,43.75,5.78,16,350.0,4.88,31.36,-4.64,100.0,6,2,20.08,18.24,-7.17,3.66,2.24,22.77,-5.56,24.5
EMA_CROSSOVER_SAR_LONG_SHORT,201,231,101.55,199.31,120.22,23.56,2.16,2.95,8.46,38.89,5.7,18,311.1,4.35,31.36,-4.67,100.0,6,2,20.08,18.24,-7.17,3.66,1.09,22.77,-5.48,25.76
EMA_CROSSOVER_SAR_LONG_SHORT,211,221,101.55,199.32,120.22,23.56,2.16,2.95,8.46,43.75,5.83,16,350.0,4.89,31.36,-4.67,100.0,6,2,20.08,18.24,-7.17,3.66,1.09,22.77,-5.48,25.76
EMA_CROSSOVER_SAR_LONG_SHORT,201,232,101.55,199.32,120.22,23.56,2.16,2.95,8.46,43.75,5.83,16,350.0,4.89,31.36,-4.67,100.0,6,2,20.08,18.24,-7.17,3.66,1.09,22.77,-5.48,25.76
EMA_CROSSOVER_SAR_LONG_SHORT,200,233,101.55,199.32,120.22,23.56,2.16,2.95,8.46,43.75,5.83,16,350.0,4.89,31.36,-4.67,100.0,6,2,20.08,18.24,-7.17,3.66,1.09,22.77,-5.48,25.76
