Strategy_Logic,Fast_EMA,Slow_EMA,Total_Return_Pct,CAGR_Pct,Alpha_Pct,Max_Drawdown_Pct,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Win_Rate_Pct,Profit_Factor,Total_Trades,Avg_Holding_Hours,Avg_Trade_Pct,Best_Trade_Pct,Worst_Trade_Pct,Exposure_Pct,Pos_Months,Neg_Months,Jan_2026,Feb_2026,Mar_2026,Apr_2026,May_2026,Jun_2026,Jul_2026,Aug_2026
EMA_CROSSOVER_LONG_ONLY,204,228,37.33,64.25,56.0,16.89,1.56,1.61,3.8,55.56,7.12,9,309.6,3.95,27.9,-4.67,49.75,5,1,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,28.13
EMA_CROSSOVER_LONG_ONLY,199,234,37.32,64.23,55.99,16.89,1.56,1.61,3.8,62.5,7.61,8,348.8,4.44,28.0,-4.67,49.82,5,1,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,28.12
EMA_CROSSOVER_LONG_ONLY,201,233,37.23,64.07,55.91,16.89,1.55,1.61,3.79,62.5,8.1,8,348.9,4.42,27.9,-4.13,49.84,5,1,0.16,0.0,0.3,5.61,-4.13,0.0,5.94,27.37
EMA_CROSSOVER_LONG_ONLY,202,230,37.21,64.03,55.89,16.89,1.55,1.61,3.79,55.56,7.1,9,309.4,3.94,27.9,-4.67,49.73,5,1,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,28.02
EMA_CROSSOVER_LONG_ONLY,200,232,37.21,64.03,55.89,16.89,1.55,1.61,3.79,55.56,7.1,9,309.4,3.94,27.9,-4.67,49.73,5,1,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,28.02
EMA_CROSSOVER_LONG_ONLY,200,233,37.21,64.02,55.89,16.89,1.55,1.61,3.79,62.5,7.59,8,348.6,4.43,27.9,-4.67,49.8,5,1,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,28.02
EMA_CROSSOVER_LONG_ONLY,213,219,37.21,64.02,55.89,16.89,1.55,1.61,3.79,62.5,7.59,8,348.6,4.43,27.9,-4.67,49.8,5,1,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,28.02
EMA_CROSSOVER_LONG_ONLY,211,221,37.21,64.02,55.89,16.89,1.55,1.61,3.79,62.5,7.59,8,348.6,4.43,27.9,-4.67,49.8,5,1,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,28.02
EMA_CROSSOVER_LONG_ONLY,212,220,37.21,64.02,55.89,16.89,1.55,1.61,3.79,62.5,7.59,8,348.6,4.43,27.9,-4.67,49.8,5,1,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,28.02
EMA_CROSSOVER_LONG_ONLY,202,231,37.21,64.02,55.89,16.89,1.55,1.61,3.79,62.5,7.59,8,348.6,4.43,27.9,-4.67,49.8,5,1,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,28.02
EMA_CROSSOVER_LONG_ONLY,201,232,37.21,64.02,55.89,16.89,1.55,1.61,3.79,62.5,7.59,8,348.6,4.43,27.9,-4.67,49.8,5,1,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,28.02
EMA_CROSSOVER_LONG_ONLY,214,218,37.21,64.02,55.89,16.89,1.55,1.61,3.79,62.5,7.59,8,348.6,4.43,27.9,-4.67,49.8,5,1,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,28.02
