Logic,Fast_EMA,Slow_EMA,Y_Factor,Y_Value,X_Pct,Initial_Capital,Final_Equity,Total_Return_Pct,Max_Drawdown_Pct,Sharpe,Win_Rate_Pct,Profit_Factor,Total_Trades_Closed,Total_Series_Adds,M_Jan,M_Feb,M_Mar,M_Apr,M_May,M_Jun,M_Jul,M_Aug
EMA_CROSS_SAR,209,223,HOURS_ELAPSED,2.0,20,10000.0,18240.23,82.4,21.3,2.25,43.75,4.13,16,468,16.61,13.97,-8.38,4.41,1.95,17.34,-0.69,21.78
EMA_CROSS_SAR,209,223,HOURS_ELAPSED,2.0,25,10000.0,18390.63,83.91,21.12,2.26,43.75,4.22,16,377,16.79,13.98,-8.07,4.45,1.84,17.34,-0.58,22.14
EMA_CROSS_SAR,209,223,HOURS_ELAPSED,2.0,30,10000.0,18490.96,84.91,21.11,2.28,43.75,4.29,16,312,16.9,13.99,-7.74,4.4,1.72,17.34,-0.51,22.37
EMA_CROSS_SAR,209,223,HOURS_ELAPSED,2.0,50,10000.0,18731.11,87.31,21.4,2.31,43.75,4.55,16,174,17.2,13.96,-6.57,3.95,1.29,17.38,-0.41,23.01
EMA_CROSS_SAR,209,223,HOURS_ELAPSED,2.0,100,10000.0,19096.69,90.97,22.35,2.36,43.75,5.14,16,16,17.68,13.88,-4.47,3.08,0.77,17.44,-0.6,24.07
EMA_CROSS_SAR,209,223,HOURS_ELAPSED,4.0,5,10000.0,15704.73,57.05,20.84,1.93,50.0,3.67,16,1010,11.56,14.06,-5.36,0.49,3.44,18.14,-1.81,8.91
EMA_CROSS_SAR,209,223,HOURS_ELAPSED,4.0,10,10000.0,16761.66,67.62,22.07,2.06,43.75,3.86,16,670,14.14,13.98,-6.82,2.25,2.84,17.63,-1.33,14.19
EMA_CROSS_SAR,209,223,HOURS_ELAPSED,4.0,15,10000.0,17315.14,73.15,22.26,2.13,43.75,3.91,16,521,15.28,13.94,-7.67,3.07,2.48,17.46,-1.17,17.41
EMA_CROSS_SAR,209,223,HOURS_ELAPSED,4.0,20,10000.0,17709.78,77.1,22.08,2.18,43.75,3.99,16,420,15.99,13.92,-7.98,3.57,2.28,17.39,-1.05,19.36
EMA_CROSS_SAR,209,223,HOURS_ELAPSED,4.0,25,10000.0,17999.62,80.0,21.82,2.22,43.75,4.08,16,358,16.45,13.91,-8.0,3.89,2.16,17.36,-0.94,20.55
EMA_CROSS_SAR,209,223,HOURS_ELAPSED,4.0,30,10000.0,18212.82,82.13,21.59,2.25,43.75,4.18,16,309,16.75,13.91,-7.86,4.08,2.06,17.35,-0.85,21.28
EMA_CROSS_SAR,209,223,HOURS_ELAPSED,4.0,50,10000.0,18662.27,86.62,21.35,2.3,43.75,4.5,16,173,17.28,13.92,-6.84,4.11,1.67,17.36,-0.62,22.5
EMA_CROSS_SAR,209,223,HOURS_ELAPSED,4.0,100,10000.0,19096.69,90.97,22.35,2.36,43.75,5.14,16,16,17.68,13.88,-4.47,3.08,0.77,17.44,-0.6,24.07
EMA_CROSS_SAR,209,223,HOURS_ELAPSED,6.0,5,10000.0,14893.35,48.93,19.75,1.8,50.0,3.39,16,808,9.41,13.82,-5.12,-0.55,3.51,18.4,-2.46,6.67
EMA_CROSS_SAR,209,223,HOURS_ELAPSED,6.0,10,10000.0,16198.28,61.98,21.66,1.99,50.0,3.77,16,583,12.74,14.08,-5.95,1.32,3.04,17.88,-1.53,11.32
EMA_CROSS_SAR,209,223,HOURS_ELAPSED,6.0,15,10000.0,16778.63,67.79,22.31,2.06,43.75,3.82,16,458,14.06,14.03,-6.89,2.28,2.57,17.62,-1.31,14.7
